"","state_abb","year","population"
"827","GA","2016",10310371
"828","HI","2016",1428557
"829","ID","2016",1683140
"830","IL","2016",12801539
"831","IN","2016",6633053
"832","IA","2016",3134693
"833","KS","2016",2907289
"834","KY","2016",4436974
"835","LA","2016",4681666
"836","ME","2016",1331479
"837","MD","2016",6016447
"838","MA","2016",6811779
"839","MI","2016",9928300
"840","MN","2016",5519952
"841","MS","2016",2988726
"842","MO","2016",6093000
"843","MT","2016",1042520
"844","NE","2016",1907116
"845","NV","2016",2940058
"846","NH","2016",1334795
"847","NJ","2016",8944469
"848","NM","2016",2081015
"849","NY","2016",19745289
"850","NC","2016",10146788
"851","ND","2016",757952
"852","OH","2016",11614373
"853","OK","2016",3923561
"854","OR","2016",4093465
"855","PA","2016",12784227
"856","RI","2016",1056426
"857","SC","2016",4961119
"858","SD","2016",865454
"859","TN","2016",6651194
"860","TX","2016",27862596
"861","UT","2016",3051217
"862","VT","2016",624594
"863","VA","2016",8411808
"864","WA","2016",7288000
"865","WV","2016",1831102
"866","WI","2016",5778708
"867","WY","2016",585501
